orders_created_at_est_year,orders_created_at_est_day,orders_total_order_count
2016,07-14,3127
2016,03-15,2460
2016,01-02,3116
2016,01-09,2985
2016,10-24,3463
2016,08-03,3104
2016,08-24,3264
2016,02-25,3166
2016,01-04,2496
2016,05-21,3515
2016,01-18,2303
2016,07-25,2930
2016,07-02,3402
2016,10-22,4771
2016,01-31,2623
2016,08-26,5205
2016,07-31,3250
2016,08-14,3324
2016,04-06,2574
2016,09-05,2860
2016,06-26,2628
2016,03-11,3797
2016,09-13,3167
2016,05-11,2485
2016,10-13,4119
2016,05-17,2371
2016,11-16,4232
2016,12-14,4719
2016,06-29,2937
2016,06-09,2739
2016,10-10,3257
2016,10-25,3661
2016,11-03,4908
2016,01-01,3443
2016,07-20,2943
2016,12-07,4429
2016,11-10,4765
2016,02-10,3058
2016,12-17,6189
2016,01-30,3372
2016,03-19,3303
2016,05-29,2151
2016,06-01,2980
2016,01-28,2659
2016,04-13,2638
2016,06-30,3193
2016,09-04,2985
2016,02-29,2723
2016,04-03,2903
2016,10-20,4397
2016,07-01,5124
2016,02-27,3918
2016,08-11,3678
2016,09-03,4376
2016,12-04,4705
2016,07-10,2615
2016,04-05,2558
2016,01-12,2212
2016,12-19,4544
2016,05-27,3946
2016,01-21,2461
2016,03-01,3013
2016,07-08,4159
2016,08-27,4242
2016,06-03,4069
2016,12-21,5094
2016,01-24,2590
2016,11-12,4930
2016,07-29,4598
2016,04-12,2437
2016,08-12,4695
2016,08-10,3346
2016,08-22,2996
2016,09-01,4664
2016,12-28,4959
2016,06-19,2315
2016,04-29,4691
2016,10-18,3377
2016,12-02,7499
2016,10-01,4706
2016,08-23,2958
2016,03-30,2602
2016,11-25,3265
2016,09-17,4040
2016,05-15,2551
2016,08-09,3027
2016,12-26,4047
2016,03-08,2400
2016,01-20,2490
2016,02-28,2919
2016,10-15,4464
2016,09-14,3501
2016,11-14,3703
2016,11-28,4010
2016,12-12,4125
2016,07-28,3372
2016,08-01,3137
2016,09-09,4964
2016,05-13,4025
2016,05-25,2743
2016,04-08,4029
2016,12-06,4760
2016,08-17,3098
2016,02-04,3037
2016,07-06,2883
2016,05-22,2507
2016,05-31,2175
2016,08-02,2894
2016,09-24,4120
2016,01-23,1514
2016,03-17,2659
2016,03-12,3091
2016,07-03,2492
2016,01-08,3495
2016,06-25,3261
2016,06-24,4052
2016,02-22,2584
2016,06-06,2247
2016,07-30,4244
2016,01-29,4121
2016,04-01,4527
2016,03-09,2583
2016,07-18,2720
2016,02-07,2281
2016,07-24,2922
2016,03-13,2610
2016,08-15,3038
2016,01-26,2669
2016,05-20,3795
2016,08-21,3213
2016,02-18,3144
2016,10-09,3384
2016,09-10,4542
2016,10-29,4925
2016,07-04,1918
2016,12-11,4478
2016,04-19,2335
2016,04-04,2475
2016,10-23,3535
2016,10-07,5128
2016,05-02,2412
2016,09-30,6039
2016,03-02,3086
2016,04-28,3145
2016,10-26,4127
2016,12-01,5619
2016,12-09,6830
2016,09-02,5481
2016,08-30,3214
2016,05-24,2341
2016,09-16,5036
2016,05-26,2768
2016,02-05,4073
2016,06-20,2459
2016,04-17,2226
2016,03-25,3511
2016,08-18,3511
2016,01-16,2994
2016,05-03,2774
2016,06-07,2374
2016,11-26,4471
2016,07-05,2614
2016,04-18,2131
2016,09-21,3283
2016,07-27,2909
2016,04-21,2815
2016,09-26,2958
2016,09-22,3696
2016,06-12,2360
2016,11-29,4777
2016,06-04,3375
2016,11-06,3979
2016,02-11,3555
2016,12-13,4425
2016,10-08,4561
2016,04-07,2826
2016,12-16,7114
2016,10-03,3527
2016,09-27,3197
2016,12-03,6246
2016,05-01,2861
2016,02-13,3848
2016,01-06,2629
2016,06-13,2183
2016,05-07,3327
2016,06-11,3012
2016,07-16,3520
2016,02-01,2773
2016,05-06,4180
2016,11-21,4240
2016,04-09,3399
2016,12-20,4704
2016,08-20,3841
2016,12-29,5694
2016,01-22,3329
2016,02-23,3003
2016,05-19,2877
2016,07-23,3572
2016,05-05,2786
2016,09-08,3718
