Snowball Map,Company / Account,Street,City,Zip/Postal Code,State/Province (text only),MobilePrimary,BusinessPhone
51744,MT Fuji Steakhouse & Sushi,1204 N Peachtree Pkwy,Peachtree City,30269,GA,,6783640808
51745,Kobe Japanese Steakhouse,2876 Highway 54,Peachtree City,30269,GA,,7706318889
51746,Umi Japanese Steakhouse,550 Eagles Landing Pkwy Ste 212,Stockbridge,30281,GA,,7703896999
51747,Bamboo Star-Permanently Closed,26 Carriage Oaks Dr,Tyrone,30290,GA,,7703068798
51748,Golden Gate Chinese Restaurant,4353 Jonesboro Rd,Forest Park,30297,GA,,4043667600
51749,Canton Buddha,2900 Peachtree Rd NW,Atlanta,30305,GA,,6787910722
51750,Umi Sushi,3050 Peachtree Rd NW,Atlanta,30305,GA,,4048410040
51751,Grand China,3490 Piedmont Rd NE,Atlanta,30305,GA,4047910262,4042318690
51752,MF Sushi Atlanta,299 N Highland Ave NE Unit K,Atlanta,30307,GA,,6785757890
51753,Tasty China,677 Kennesaw Ave NE,Atlanta,30308,GA,,4045498646
51754,Chin Chin Ii Chinese Restaurant,699 Ponce De Leon Ave NE Ste 18,Atlanta,30308,GA,,4048811511
51755,Starfish Restaurant,2255 Peachtree Rd NE Ste F,Atlanta,30309,GA,,4043500799
51756,Chico and Chang,475 Bill Kennedy Way SE,Atlanta,30316,GA,,6787053964
51757,Oku Restaurant,1085 Howell Mill Rd NW,Atlanta,30318,GA,,4045002383
51758,Eight Sushi Lounge,930 Howell Mill Rd NW,Atlanta,30318,GA,,4047968888
51759,Sumo Hibachi and Wings,3404 Clairmont Rd NE,Atlanta,30319,GA,,4045002877
51760,Kiku Japanese Steakhouse,22 Lenox Pointe NE,Atlanta,30324,GA,,4044674544
51761,Matsuya Japanese Restaurant,2899 N Druid Hills Rd NE Ste B,Atlanta,30329,GA,,4043211605
51762,Masti Restaurant,2945 N Druid Hills Rd NE,Atlanta,30329,GA,,6789499414
51763,Grand Buffet,4365 Fulton Industrial Blvd SW,Atlanta,30336,GA,,4045050588
51764,Lucky China,4524 Chamblee Dunwoody Rd,Atlanta,30338,GA,,7704585199
51765,Taki Japanese Steak House,4711 Ashford Dunwoody Rd,Atlanta,30338,GA,,7705228888
51766,Wasabi House,5500 Chamblee Dunwoody Rd Ste 31,Atlanta,30338,GA,,7708048400
51767,Hoki Japense Restaurant,3300 Cobb Pkwy SE Ste 114,Atlanta,30339,GA,,7706900555
51768,Sushi Huku Japanese Restaurant,6300 Powers Ferry Rd Ste 800,Atlanta,30339,GA,,7709569559
51769,Northern China Eatery,5141 Buford Hwy NE Ste C,Atlanta,30340,GA,,7704582282
51770,Lanzhou Ramen,5231 Buford Hwy NE,Atlanta,30340,GA,,6786912175
51771,Man Chun Hong Chinese Restaurant,5953 Buford Hwy NE Ste 105,Atlanta,30340,GA,,7704545640
51772,Canton House Chinese Restaurant,4825 Buford Hwy,Atlanta,30341,GA,,7709369030
51773,Tasty China,4920 Roswell Rd,Atlanta,30342,GA,,4046006586
51774,Genki Restaurant & Bar,5600 Roswell Rd Ste H100,Atlanta,30342,GA,,4048438319
51775,Sushi Nami Too,5610 Glenridge Dr,Atlanta,30342,GA,,4048442891
