Create Date,Company / Account,Street,State/Province (text only),Rating,Lead Owner,Lead Source,Lead Channel,Business Phone,Mobile - Primary,Zip/Postal Code,City,Phone,matching_id,key2,Exclusion?
10/31/2022,China A Gogo,11710 w charleston blvd,NV,,Wonders Lead queue,Channel Partner,Channel / Partner,(702) 880-8818,(702) 885-8188,89135,LAS VEGAS,(702) 880-8818,11710wcharles89135,11710 w ch89135,11710 W Ch89135
10/31/2022,NOODLE THYME,8530 w gage blvd,WA,,Wonders Lead queue,Telemarketer,Telemarketer,(509) 579-5899,(206) 503-9170,99336,Kennewick,(509) 579-5899,8530wgageblv99336,8530 w gag99336,-
10/31/2022,New Hong Kong City,6010 singleton rd,GA,,Wonders Lead queue,Marketing Inbound,Client Referral; SMS,(770) 446-7887,(678) 687-6968,30093,NORCROSS,(770) 446-7887,6010singleton30093,6010 singl30093,6010 SINGL30093
10/31/2022,FU STAR,1185 vestal ave # 3,NY,,Wonders Lead queue,Telemarketer,Telemarketer,(607) 722-5767,(917) 686-5923,13903,BINGHAMTON,(607) 722-5767,1185vestalave13903,1185 vesta13903,-
10/31/2022,Ichigo Ichie Hibachi,837 w central st,MA,,Wonders Lead queue,Telemarketer,Telemarketer,(508) 541-8882,(401) 573-3305,2038,Franklin,(508) 541-8882,837wcentrals2038,837 w cent2038,-
10/31/2022,9175538557 -Mr. 吳-來取,,IN,,Wonders Lead queue,Marketing Inbound,Client Referral,,(917) 553-8557,,,(917) 553-8557,NANA,,
10/31/2022,6463590374 - Ms. 楊-來取,,SC,,Wonders Lead queue,AE Sourced,Client Referral,,(646) 359-0374,,,(646) 359-0374,NANA,,
10/31/2022,508-8263606 / 9172518033,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,(414) 779-7916,(508) 826-3606,,oneonta,(414) 779-7916,NANA,,
10/31/2022,6464030561-男老板-来取,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 403-0561,,,(646) 403-0561,NANA,,
10/31/2022,9173923888,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 392-3888,,,(917) 392-3888,NANA,,
10/31/2022,9179691886,,,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 969-1886,,,(917) 969-1886,NANA,,
10/31/2022,9173308498,,,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 330-8498,,,(917) 330-8498,NANA,,
10/31/2022,7187107668-男老板-送餐,,,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(718) 710-7668,,,(718) 710-7668,NANA,,
10/31/2022,"7186745551 , 5407230730 - Ms. Selena陳-來取",,VA,,Wonders Lead queue,Marketing Inbound,Client Referral,,(718) 674-5551,,,(718) 674-5551,NANA,,
10/31/2022,6463216028-陈,,MA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 321-6028,,,(646) 321-6028,NANA,,
10/31/2022,6467500733-male-来取,,MD,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 750-0733,,,(646) 750-0733,NANA,,
10/31/2022,9175489393,,,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 548-9393,,,(917) 548-9393,NANA,,
10/31/2022,6462917933-阿杰,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 291-7933,,,(646) 291-7933,NANA,,
10/31/2022,4012483171-Ms.吴,,,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(401) 248-3171,,,(401) 248-3171,NANA,,
10/31/2022,Top China,2525 east hillsborough avenue #157,FL,,Wonders Lead queue,Marketing Inbound,DM,(813) 238-7736,(813) 418-1492,,Tampa,(813) 238-7736,2525easthillsNA,2525 east,-
10/31/2022,7543010723 - Ms.黄-送餐,,FL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(754) 301-0723,,,(754) 301-0723,NANA,,
10/31/2022,2159171928-tommy-送餐,,PA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(215) 917-1928,,,(215) 917-1928,NANA,,
10/31/2022,9174597653-Andy 陈-送餐,,FL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 459-7653,,,(917) 459-7653,NANA,,
10/31/2022,5155546384-Mr.姚-送餐,,IA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(515) 554-6384,,,(515) 554-6384,NANA,,
10/31/2022,9177753280-male owner,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 775-3280,,,(917) 775-3280,NANA,,
10/31/2022,9177539111-Mr.黄,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 753-9111,,,(917) 753-9111,NANA,,
10/31/2022,7657146198 送餐,,IN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(765) 714-6198,,,(765) 714-6198,NANA,,
10/31/2022,5513580386-男老板-来取,,NJ,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(551) 358-0386,,,(551) 358-0386,NANA,,
10/31/2022,6315684021-男老板-送餐,,MD,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(631) 568-4021,,,(631) 568-4021,NANA,,
10/31/2022,9173328431-男老板-来取,,MD,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 332-8431,,,(917) 332-8431,NANA,,
10/31/2022,9173998878-女老板-自助加来取,,KY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 399-8878,,,(917) 399-8878,NANA,,
10/31/2022,9179698813-Mr.陈-来取,,MD,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 969-8813,,,(917) 969-8813,NANA,,
10/31/2022,3476365379-男老板-送餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(347) 636-5379,,,(347) 636-5379,NANA,,
10/31/2022,9048688792-男老板-送餐,,FL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(904) 868-8792,,,(904) 868-8792,NANA,,
10/31/2022,6089601688-女老板-来取,,AL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(608) 960-1688,,,(608) 960-1688,NANA,,
10/31/2022,不感兴趣,,DE,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(347) 828-6476,,,(347) 828-6476,NANA,,
10/31/2022,9173533123-男老板-中餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 353-3123,,,(917) 353-3123,NANA,,
10/31/2022,8606714235,,PA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(860) 671-4235,,,(860) 671-4235,NANA,,
10/31/2022,9179631040-男老板-快餐店,,TX,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 963-1040,,,(917) 963-1040,NANA,,
10/31/2022,6262785907,,NJ,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(626) 278-5907,,,(626) 278-5907,NANA,,
10/31/2022,9174355599,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 435-5599,,,(917) 435-5599,NANA,,
10/31/2022,7738289988,,IL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(773) 828-9988,,,(773) 828-9988,NANA,,
10/31/2022,9046603020-男老板-海鲜,,FL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(904) 660-3020,,,(904) 660-3020,NANA,,
10/31/2022,6463018555-女老板-来取,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 301-8555,,,(646) 301-8555,NANA,,
10/31/2022,8652325237-女老板-来取,,TN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(865) 232-5237,,,(865) 232-5237,NANA,,
10/31/2022,6468985607-Mr.陈-送餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 898-5607,,,(646) 898-5607,NANA,,
10/31/2022,9208609386-Ms.刘-送餐,,WI,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(920) 860-9386,,,(920) 860-9386,NANA,,
10/31/2022,9293179888-男老板-送餐,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(929) 317-9888,,,(929) 317-9888,NANA,,
10/31/2022,6465935586-Mr.冯-中餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 593-5586,,,(646) 593-5586,NANA,,
10/31/2022,3128681633/3129275622 -Carol-送餐,,IL,,Wonders Lead queue,Marketing Inbound,DM,(312) 868-1633,(312) 927-5622,,,(312) 868-1633,NANA,,
10/31/2022,6467173837-Evan-来取,,IN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 717-3837,,,(646) 717-3837,NANA,,
10/31/2022,9178557888-Ms.张-中餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 855-7888,,,(917) 855-7888,NANA,,
10/31/2022,9173028005-Lisa林-送餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 302-8005,,,(917) 302-8005,NANA,,
10/31/2022,9293002294-女老板,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(929) 300-2294,,,(929) 300-2294,NANA,,
10/31/2022,6466331599-女老板-龙包店,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 633-1599,,,(646) 633-1599,NANA,,
10/31/2022,6465778483-女老板-中餐,,MD,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 577-8483,,,(646) 577-8483,NANA,,
10/31/2022,6463182775-女老板-中餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 318-2775,,,(646) 318-2775,NANA,,
10/31/2022,6467267420-女老板-自助,,PA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 726-7420,,,(646) 726-7420,NANA,,
10/31/2022,不是餐馆，出租车公司,,KY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 884-3695,,,(646) 884-3695,NANA,,
10/31/2022,7178089255-男老板-送餐,,PA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(717) 808-9255,,,(717) 808-9255,NANA,,
10/31/2022,9292644070-男老板-日餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(929) 264-4070,,,(929) 264-4070,NANA,,
10/31/2022,9172947386-男老板-日餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 294-7386,,,(917) 294-7386,NANA,,
10/31/2022,6463442919-女老板-来取,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 344-2919,,,(646) 344-2919,NANA,,
10/31/2022,9173558811-Client DO NOT CALL,,NJ,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 355-8811,,,(917) 355-8811,NANA,,
10/31/2022,9172795878-女老板-中餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 279-5878,,,(917) 279-5878,NANA,,
10/31/2022,6462587014-Ms.Maggie-中餐,,PA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 258-7014,,,(646) 258-7014,NANA,,
10/31/2022,4076830874076830877-Ms.郑,,FL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(407) 683-0874,,,(407) 683-0874,NANA,,
10/31/2022,6463881827-男老板-中餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 388-1827,,,(646) 388-1827,NANA,,
10/31/2022,9295226667-女老板,,KY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(929) 522-6667,,,(929) 522-6667,NANA,,
10/31/2022,9175174888-Mr.任-中餐来取,,OH,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 517-4888,,,(917) 517-4888,NANA,,
10/31/2022,6462569829-男老板-中日餐,,VA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 256-9829,,,(646) 256-9829,NANA,,
10/31/2022,9172383937-女老板-中餐-Client DO NOT CALL,,NJ,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 238-3937,,,(917) 238-3937,NANA,,
10/31/2022,8034120226-女老板-中餐,,SC,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(803) 412-0226,,,(803) 412-0226,NANA,,
10/31/2022,9178226161-女老板-中餐,,MD,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 822-6161,,,(917) 822-6161,NANA,,
10/31/2022,6178182021-女老板-来取,,ME,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(617) 818-2021,,,(617) 818-2021,NANA,,
10/31/2022,9292505673-女老板,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(929) 250-5673,,,(929) 250-5673,NANA,,
10/31/2022,6465151658-男老板-中餐来取,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 515-1658,,,(646) 515-1658,NANA,,
10/31/2022,6786873270-女老板-炸鸡店,,GA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(678) 687-3270,,,(678) 687-3270,NANA,,
10/31/2022,6467079749-女老板-日餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 707-9749,,,(646) 707-9749,NANA,,
10/31/2022,Client DO NOT CALL6465057803-女老板-中餐来取-Client DO NOT CALL,,AL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 505-7803,,,(646) 505-7803,NANA,,
10/31/2022,4096550435-女老板-来取,,TX,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(409) 655-0435,,,(409) 655-0435,NANA,,
10/31/2022,4694063088-男老板-日餐,,TX,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(469) 406-3088,,,(469) 406-3088,NANA,,
10/31/2022,3472813839-女老板-来取,,FL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(347) 281-3839,,,(347) 281-3839,NANA,,
10/31/2022,9176244551-Mr.张-来取,,NJ,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 624-4551,,,(917) 624-4551,NANA,,
10/31/2022,5402874200-Jenny-来取,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(540) 287-4200,,,(540) 287-4200,NANA,,
10/31/2022,2486356766-Ms.李-来取,,MI,,Wonders Lead queue,Marketing Inbound,DM,,(248) 635-6766,,,(248) 635-6766,NANA,,
10/31/2022,6467048029-林老板,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 704-8029,,,(646) 704-8029,NANA,,
10/31/2022,6467501509-女老板-日餐,,VA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 750-1509,,,(646) 750-1509,NANA,,
10/31/2022,9179451117-男老板-中餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 945-1117,,,(917) 945-1117,NANA,,
10/31/2022,9178606011-男老板-日餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 860-6011,,,(917) 860-6011,NANA,,
10/31/2022,7035895512-女老板-中日餐,,VA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(703) 589-5512,,,(703) 589-5512,NANA,,
10/31/2022,6465102653-男老板-中餐,,PA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 510-2653,,,(646) 510-2653,NANA,,
10/31/2022,9178537799-男老板-中餐,,SC,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 853-7799,,,(917) 853-7799,NANA,,
10/31/2022,5713377320-男老板-中泰餐,,VA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(571) 337-7320,,,(571) 337-7320,NANA,,
10/31/2022,9173707985-女老板-中餐来取,,FL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 370-7985,,,(917) 370-7985,NANA,,
10/31/2022,9176636522-女老板-中日餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 663-6522,,,(917) 663-6522,NANA,,
10/31/2022,9172515577-男老板-中餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 251-5577,,,(917) 251-5577,NANA,,
10/31/2022,9733932665-女老板-中餐,,NJ,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(973) 393-2665,,,(973) 393-2665,NANA,,
10/31/2022,9177921777-男老板-中餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 792-1777,,,(917) 792-1777,NANA,,
10/31/2022,6462036777-男老板-中餐,,PA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 203-6777,,,(646) 203-6777,NANA,,
10/31/2022,2677363010-男老板-中餐来取,,MD,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(267) 736-3010,,,(267) 736-3010,NANA,,
10/31/2022,9178333968-男老板-送餐,,VA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 833-3968,,,(917) 833-3968,NANA,,
10/31/2022,9177022026-女老板-来取,,CT,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 702-2026,,,(917) 702-2026,NANA,,
10/31/2022,8608695156-女老板-送餐,,CT,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(860) 869-5156,,,(860) 869-5156,NANA,,
10/31/2022,9299239888-女老板-送餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(929) 923-9888,,,(929) 923-9888,NANA,,
10/31/2022,7637770621-女老板-送餐,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(763) 777-0621,,,(763) 777-0621,NANA,,
10/31/2022,4256470025-女老板-来取,,GA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(425) 647-0025,,,(425) 647-0025,NANA,,
10/31/2022,6465068325-男老板-来取,,MI,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 506-8325,,,(646) 506-8325,NANA,,
10/31/2022,9178733338-女老板-中日餐,,SC,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 873-3338,,,(917) 873-3338,NANA,,
10/31/2022,6468841940-女老板-送餐,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 884-1940,,,(646) 884-1940,NANA,,
10/31/2022,6122985377-男老板-送餐,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(612) 298-5377,,,(612) 298-5377,NANA,,
10/31/2022,6466788013-女老板-送餐,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 678-8013,,,(646) 678-8013,NANA,,
10/31/2022,6462387726-翁老板-送餐,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 238-7726,,,(646) 238-7726,NANA,,
10/31/2022,3216956427-男老板-来取,,FL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(321) 695-6427,,,(321) 695-6427,NANA,,
10/31/2022,7708236068-Ms.陈,,GA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(770) 823-6068,,,(770) 823-6068,NANA,,
10/31/2022,9176833067-男老板,,FL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 683-3067,,,(917) 683-3067,NANA,,
10/31/2022,9293605525-女老板-送餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(929) 360-5525,,,(929) 360-5525,NANA,,
10/31/2022,9175829113-女老板-送餐,,MS,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 582-9113,,,(917) 582-9113,NANA,,
10/31/2022,9176679833-江老板-来取,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 667-9833,,,(917) 667-9833,NANA,,
10/31/2022,9178569892-女老板-送餐,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 856-9892,,,(917) 856-9892,NANA,,
10/31/2022,6122317035-女老板-送餐,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(612) 231-7035,,,(612) 231-7035,NANA,,
10/31/2022,9299991991-男老板-来取,,CT,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(929) 999-1991,,,(929) 999-1991,NANA,,
10/31/2022,9292832469-男老板-来取,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(929) 283-2469,,,(929) 283-2469,NANA,,
10/31/2022,3477594487-男老板-来取,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(347) 759-4487,,,(347) 759-4487,NANA,,
10/31/2022,9177560835-男老板-来取,,MA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 756-0835,,,(917) 756-0835,NANA,,
10/31/2022,3478852745-男老板,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(347) 885-2745,,,(347) 885-2745,NANA,,
10/31/2022,3302567559-女老板-送餐,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(330) 256-7559,,,(330) 256-7559,NANA,,
10/31/2022,7635165850-男老板-送餐,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(763) 516-5850,,,(763) 516-5850,NANA,,
10/31/2022,9179698881-女老板-来取,,NJ,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 969-8881,,,(917) 969-8881,NANA,,
10/31/2022,3478660569-女老板-来取,,VA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(347) 866-0569,,,(347) 866-0569,NANA,,
10/31/2022,9176692328-男老板-送餐,,CT,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 669-2328,,,(917) 669-2328,NANA,,
10/31/2022,7274817051-女老板-送餐,,FL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(727) 481-7051,,,(727) 481-7051,NANA,,
10/31/2022,7636563353-女老板-自助,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(763) 656-3353,,,(763) 656-3353,NANA,,
10/31/2022,7189156366-男老板-送餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(718) 915-6366,,,(718) 915-6366,NANA,,
10/31/2022,9173625966-女老板-送餐,,NJ,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 362-5966,,,(917) 362-5966,NANA,,
10/31/2022,9173535292-女老板-送餐,,NJ,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 353-5292,,,(917) 353-5292,NANA,,
10/31/2022,6086222880-女老板-来取,,WI,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(608) 622-2880,,,(608) 622-2880,NANA,,
10/31/2022,9176889883-男老板-来取,,FL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 688-9883,,,(917) 688-9883,NANA,,
10/31/2022,6123871165-男老板-来取,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(612) 387-1165,,,(612) 387-1165,NANA,,
10/31/2022,6128893375-男老板-来取,,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(612) 889-3375,,,(612) 889-3375,NANA,,
10/31/2022,Tea house,2425 university avenue southeast,MN,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(952) 451-2898,55414,Minneapolis,(952) 451-2898,2425university55414,2425 unive55414,-
10/31/2022,9088396311-女老板-自助,,NJ,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(908) 839-6311,,,(908) 839-6311,NANA,,
10/31/2022,9173531562-女老板-送餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 353-1562,,,(917) 353-1562,NANA,,
10/31/2022,6469321687-男老板-来取,,PA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 932-1687,,,(646) 932-1687,NANA,,
10/31/2022,9173328486-男老板-送餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 332-8486,,,(917) 332-8486,NANA,,
10/31/2022,6462513235-男老板-来取,,,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 251-3235,,,(646) 251-3235,NANA,,
10/31/2022,9293009277-女老板-送餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(929) 300-9277,,,(929) 300-9277,NANA,,
10/31/2022,5105797565-男老板-来取,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(510) 579-7565,,,(510) 579-7565,NANA,,
