Country,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Key events,User key event rate,Total revenue
United States,10553,10389,7755,52%,1,1 m 26 s,189241,1153,4%,0
Canada,646,643,245,35%,0,37 s,4934,23,3%,0
India,639,638,329,49%,1,50 s,4974,101,8%,0
China,464,451,234,44%,1,31 s,7018,8,1%,0
Taiwan,199,197,50,24%,0,10 s,1124,1,1%,0
Malaysia,179,175,127,46%,1,1 m 46 s,1866,2,1%,0
Hong Kong,98,96,60,51%,1,50 s,790,1,1%,0
Pakistan,72,72,41,53%,1,36 s,536,12,11%,0
Bangladesh,68,68,42,58%,1,2 m 06 s,479,3,4%,0
Japan,51,50,17,33%,0,29 s,296,0,0%,0
Philippines,40,34,36,47%,1,60 s,521,0,0%,0
Singapore,40,38,25,53%,1,1 m 06 s,405,1,3%,0
(not set),32,32,0,0%,0,2 s,168,0,0%,0
United Kingdom,30,28,22,65%,1,59 s,271,1,3%,0
Australia,27,26,19,59%,1,1 m 08 s,231,1,4%,0
Poland,27,27,0,0%,0,1 s,105,0,0%,0
Germany,25,25,21,75%,1,1 m 23 s,239,0,0%,0
Iran,24,24,17,65%,1,50 s,236,2,4%,0
Myanmar (Burma),22,22,14,52%,1,42 s,164,2,5%,0
France,21,20,14,54%,1,1 m 11 s,159,0,0%,0
Italy,20,20,15,75%,1,1 m 10 s,169,0,0%,0
Cambodia,19,19,13,62%,1,36 s,126,0,0%,0
Mexico,19,19,11,48%,1,1 m 09 s,124,0,0%,0
Indonesia,18,18,7,37%,0,25 s,121,0,0%,0
South Korea,18,17,10,50%,1,48 s,146,0,0%,0
Laos,17,17,10,53%,1,31 s,112,0,0%,0
Spain,16,16,12,71%,1,1 m 12 s,109,1,6%,0
Egypt,10,9,4,40%,0,9 s,65,0,0%,0
Finland,9,9,5,56%,1,36 s,60,0,0%,0
Nigeria,9,9,5,50%,1,34 s,70,1,11%,0
Thailand,9,9,4,36%,0,19 s,55,0,0%,0
Dominican Republic,7,7,6,75%,1,48 s,60,0,0%,0
Sweden,7,7,7,78%,1,37 s,63,0,0%,0
Vietnam,7,7,0,0%,0,1 s,34,0,0%,0
Macao,6,6,2,33%,0,8 s,34,0,0%,0
Nepal,6,6,4,67%,1,36 s,128,2,33%,0
Afghanistan,5,5,3,50%,1,24 s,49,2,40%,0
Belgium,5,5,5,83%,1,1 m 27 s,37,0,0%,0
