States,Avg SDR Touch,Active Clients,Phone Number Counts
AL,3.14,36,465
AR,4.37,2,273
AZ,2.46,8,1220
CA,2.67,18,24219
CO,3.25,35,1637
CT,4.21,79,1681
DC,3.77,7,675
DE,4.87,33,314
FL,4.65,304,5206
GA,3.45,77,5089
IA,2.84,10,356
ID,3.18,1,185
IL,3.07,55,4603
IN,3.62,47,859
KS,1.95,12,414
KY,3.41,32,511
LA,2.61,42,681
MA,3.14,32,3960
MD,5.61,90,2916
ME,2.08,9,234
MI,3.32,74,1522
MN,2.39,23,1030
MO,2.52,35,763
MS,3.85,32,363
MT,2.67,1,94
NC,4.05,144,1943
ND,2.46,1,79
NE,1.73,9,269
NH,2.44,7,310
NJ,3.28,226,4952
NM,2.99,4,215
NV,3.50,24,1105
NY,2.58,402,75732
OH,3.71,133,2014
OK,2.49,21,539
OR,2.49,1,822
PA,3.61,180,4419
RI,4.30,16,380
SC,4.62,100,806
SD,1.54,2,79
TN,3.34,30,1126
TX,1.69,47,6438
UT,3.13,3,549
VA,3.36,112,3081
VT,2.03,6,129
WA,2.65,3,1762
WI,4.08,58,895
WV,3.28,15,223
WY,4.25,2,93
