State,Brizo,Inbound Call,Masterlist,Print Shop,Wonders Lead Queue
AL,27,8,172,48,5
AR,40,NA,58,59,2
AZ,73,3,118,457,1
CA,811,25,5673,6043,2867
CO,23,5,211,598,17
CT,22,NA,430,400,9
DC,19,NA,81,248,1
DE,3,NA,81,75,5
FL,217,6,897,1604,28
GA,86,6,1733,767,46
IA,16,1,81,90,1
ID,13,NA,22,64,1
IL,94,3,503,1751,15
IN,26,2,178,238,7
KS,15,NA,66,133,2
KY,9,1,107,143,4
LA,71,2,140,159,4
MA,39,5,704,1256,9
MD,26,6,525,918,6
ME,4,NA,50,65,NA
MI,48,2,241,493,4
MN,17,3,322,184,12
MO,43,4,163,197,3
MS,31,NA,97,69,3
MT,4,NA,24,21,NA
NC,37,7,487,465,13
ND,NA,NA,23,16,NA
NE,9,NA,44,86,NA
NH,NA,1,97,56,2
NJ,54,11,1186,1261,36
NM,13,1,18,83,NA
NV,32,2,153,383,11
NY,418,63,26805,10774,298
OH,59,3,475,502,14
OK,29,3,91,166,1
OR,75,1,105,270,2
PA,57,6,1098,1082,28
RI,2,1,82,107,2
SC,28,3,220,170,6
SD,3,NA,19,19,NA
TN,32,1,226,319,2
TX,358,9,1287,1758,15
UT,29,NA,61,199,NA
VA,45,4,523,998,11
VT,1,NA,42,22,1
WA,102,NA,249,580,6
WI,25,8,113,322,4
WV,4,1,72,38,2
WY,3,NA,18,27,NA
