zip_code,total_pop,white_alone,black_alone,asian_alone,chinese_persons,chinese_speakers_total,pct_white,pct_black,pct_asian,pct_chinese
00601,16721,13904,314,19,0,0,0.8315292147598827,0.0187787811733748,0.0011362956760959273,0.0
00602,37510,13781,520,44,18,0,0.36739536123700345,0.01386296987470008,0.0011730205278592375,0.00047987203412423355
00603,48317,35550,1572,8,8,0,0.7357658795041083,0.03253513256203821,0.00016557319369993998,0.00016557319369993998
00606,5435,3697,12,15,0,0,0.6802207911683532,0.0022079116835326588,0.0027598896044158236,0.0
00610,25413,6582,525,0,0,0,0.25900129854798726,0.02065871797898713,0.0,0.0
00611,1522,861,49,0,0,0,0.5657030223390276,0.032194480946123524,0.0,0.0
00612,62462,16305,1279,517,0,0,0.2610387115366143,0.020476449681406297,0.008277032435720918,0.0
00616,9836,2238,487,152,0,0,0.22753151687677917,0.04951199674664498,0.015453436356242375,0.0
00617,22699,5141,678,284,0,0,0.22648574827084894,0.029869157231596107,0.012511564386096304,0.0
00622,7950,3948,383,0,0,0,0.49660377358490565,0.04817610062893082,0.0,0.0
00623,39005,19851,2052,200,183,0,0.5089347519548776,0.052608639917959235,0.005127547750288425,0.004691706191513908
00624,21374,16401,358,24,0,0,0.7673341442874521,0.016749321605689156,0.0011228595489847478,0.0
00627,32753,24474,727,0,0,0,0.7472292614417,0.022196440020761456,0.0,0.0
00631,1357,1293,8,0,0,0,0.952837140751658,0.0058953574060427415,0.0,0.0
00636,1071,754,0,0,0,0,0.704014939309057,0.0,0.0,0.0
00637,22884,13227,181,10,0,0,0.5780020975353959,0.007909456388743227,0.00043698654081454294,0.0
00638,17410,6008,922,80,0,0,0.3450890292935095,0.05295807007466973,0.004595060310166571,0.0
00641,23962,12759,389,67,0,0,0.5324680744512145,0.01623403722560721,0.002796093815207412,0.0
00646,36099,11388,2014,0,0,0,0.31546580237679717,0.05579101914180448,0.0,0.0
00647,4611,2268,234,4,0,0,0.49186727391021473,0.05074821080026025,0.0008674907829104315,0.0
00650,13457,4380,98,233,0,0,0.32548116222040574,0.007282455227762503,0.0173144088578435,0.0
00652,4492,1156,73,48,0,0,0.25734639358860195,0.016251113089937666,0.01068566340160285,0.0
00653,8665,5188,239,0,0,0,0.5987305251009809,0.027582227351413732,0.0,0.0
00656,17815,14043,407,20,0,0,0.7882683132191973,0.02284591636261577,0.001122649452708392,0.0
00659,37203,26676,1441,5,0,0,0.7170389484718974,0.03873343547563369,0.00013439776362121335,0.0
00660,15439,4525,516,0,0,0,0.2930889306302222,0.03342185374700434,0.0,0.0
00662,40705,21410,2591,33,19,0,0.5259796093845965,0.06365311386807518,0.000810711214838472,0.00046677312369487777
00664,14816,8374,312,0,0,0,0.5651997840172787,0.021058315334773217,0.0,0.0
00667,23116,11726,771,0,0,0,0.5072676933725558,0.033353521370479325,0.0,0.0
00669,27534,22257,580,0,0,0,0.8083460448899542,0.02106486525749982,0.0,0.0
00670,8553,5309,262,0,0,0,0.6207178767683854,0.030632526598854203,0.0,0.0
00674,39288,9716,840,39,0,0,0.247301975157809,0.021380574221136223,0.0009926695174098962,0.0
00676,36836,27681,1518,0,0,0,0.7514659572157671,0.0412096861765664,0.0,0.0
00677,15432,3340,354,0,0,0,0.21643338517366512,0.022939346811819597,0.0,0.0
00678,24848,14542,755,0,0,0,0.5852382485511912,0.030384739214423695,0.0,0.0
00680,42817,7318,770,33,0,0,0.17091342223883038,0.017983511222178106,0.0007707219095219189,0.0
00682,29939,4197,888,84,0,0,0.14018504292060524,0.029660309295567653,0.0028057049333645077,0.0
00683,29431,19643,307,9,6,0,0.6674255037205667,0.010431178009581734,0.0003058000067955557,0.00020386667119703713
00685,40323,29008,907,0,0,0,0.7193909183344493,0.02249336606899288,0.0,0.0
00687,28534,7887,1336,0,0,0,0.2764070932922128,0.04682133595009463,0.0,0.0
00688,10985,1915,84,26,0,0,0.17432862994993173,0.007646791078743742,0.002366863905325444,0.0
00690,6275,4399,227,0,0,0,0.7010358565737052,0.036175298804780875,0.0,0.0
00692,32717,6943,1429,0,0,0,0.21221383378671638,0.043677598801846136,0.0,0.0
00693,55725,14222,2559,10,0,0,0.25521758636159714,0.04592193808882907,0.0001794526693584567,0.0
00694,125,0,0,0,0,0,0.0,0.0,0.0,0.0
00698,32945,24225,646,0,0,0,0.7353164364850509,0.019608438306268024,0.0,0.0
00703,24642,8884,1944,0,0,0,0.36052268484700917,0.07888970051132213,0.0,0.0
00704,6433,1090,559,0,0,0,0.1694388310275144,0.08689569407741334,0.0,0.0
00705,24475,5103,1289,0,0,0,0.20849846782431053,0.052665985699693565,0.0,0.0
00707,10400,858,2060,0,0,0,0.0825,0.19807692307692307,0.0,0.0
00714,15573,6951,3094,0,0,0,0.4463494509728376,0.19867719771399217,0.0,0.0
