feature,correlation_with_tenure
days_since_assigned_to_person_c,0.30720873336580745
days_since_last_activity_c,0.28051352466231616
mql_qualified_duration,-0.15571071523062494
expected_gmv_2_c,-0.14146515009978183
duration_sdr_assigned_c,-0.12973732164887555
pct_asian,-0.12196816280830958
asian_alone,-0.12089623760299352
pct_chinese,-0.09730447278480064
chinese_persons,-0.09697396500620356
duration_sdr_complete_c,-0.060778008645005
density,0.0604682510574403
population,-0.05972234986957293
total_pop,-0.0524009382826727
zip_code,-0.051161267808696856
zip_code_1,-0.051161267808696856
duration_sdr_working_c,-0.049885958930283594
duration_converted_c,-0.048098195824948696
sales_cycle_length_c,-0.048098195824948696
mql_qualified_days,-0.04627653559174495
pct_white,0.037901397924978514
white_alone,-0.03673457222684374
black_alone,0.0366138039610667
pct_black,0.03611854244800342
duration_ae_assigned_c,-0.030448282761681354
daylight_saving_hour_c,
chinese_speakers_total,
