unique_code,density,density_band,expected_gmv_c,median_household_income,median_income_band,menu_type_c,cuisines_regional,cuisines_continental,population,population_band,region,school_zone,state_code,tenure_in_complete_months,zip_code
R85077,177,101 - 500,,"$16,916","$1 - $60,000",Chinese-Unknown,,,6853,"5,001 - 20,000",Midwest,D+,IL,2,62201
R85582,1231,"501 - 5,000",,"$27,876","$1 - $60,000",Cajun,,,49927,"20,201 - 50,000",Southeast,B-,FL,10,32304
R85225,5597,"5,001 - 20,000",,"$28,287","$1 - $60,000",Chinese-Unknown,,,31378,"20,201 - 50,000",Northeast,D+,PA,11,19132
R87256,212,101 - 500,,"$29,953","$1 - $60,000",Chinese-Unknown,,,15390,"5,001 - 20,000",Southeast,B+,SC,1,29624
R87251,64,1 - 100,,"$30,000","$1 - $60,000",Japanese,,,11954,"5,001 - 20,000",Southeast,B-,KY,0,40965
R86236,782,"501 - 5,000",,"$30,378","$1 - $60,000",Chinese-Unknown;Other;Sandwich,,,31631,"20,201 - 50,000",Southeast,C,LA,17,70501
R86391,6536,"5,001 - 20,000",,"$30,946","$1 - $60,000",Chinese-Unknown,,,51766,"50,001+",Northeast,D+,PA,0,19140
R85309,521,"501 - 5,000",,"$31,257","$1 - $60,000",Chinese-Unknown,,,25757,"20,201 - 50,000",Southeast,D+,AL,0,35020
R87082,82,1 - 100,,"$31,473","$1 - $60,000",Chinese-Unknown;Wings,,,27794,"20,201 - 50,000",Southeast,C-,SC,0,29115
R86167,134,101 - 500,,"$32,974","$1 - $60,000",Thai;Other,,,24596,"20,201 - 50,000",Southeast,A,AL,16,36832
R85863,2270,"501 - 5,000",,"$33,045","$1 - $60,000",Chinese-Unknown,,,38393,"20,201 - 50,000",Midwest,B,IL,0,61820
R87039,2973,"501 - 5,000",,"$33,136","$1 - $60,000",Chinese-Unknown,,,16480,"5,001 - 20,000",Northeast,C,NY,13,12206
R87235,2973,"501 - 5,000",,"$33,136","$1 - $60,000",Chinese-Unknown,,,16480,"5,001 - 20,000",Northeast,C,NY,8,12206
R86799,6863,"5,001 - 20,000",,"$33,766","$1 - $60,000",Chinese-Unknown,,,53560,"50,001+",Northeast,D+,PA,4,19104
R86618,6863,"5,001 - 20,000",,"$33,766","$1 - $60,000",Chinese-Unknown;Other,,,53560,"50,001+",Northeast,D+,PA,0,19104
R86826,45,1 - 100,,"$34,072","$1 - $60,000",Chinese-Unknown,,,23445,"20,201 - 50,000",Southeast,C-,MS,,38930
R86321,875,"501 - 5,000",,"$34,110","$1 - $60,000",Chinese-Unknown,,,12370,"5,001 - 20,000",Midwest,C-,OH,16,44509
R85186,18060,"5,001 - 20,000",,"$34,316","$1 - $60,000",Cajun,,,48136,"20,201 - 50,000",Northeast,B+,NY,0,10451
R85702,1444,"501 - 5,000",,"$34,732","$1 - $60,000",Chinese-Unknown,,,17691,"5,001 - 20,000",Southwest,B-,TX,10,76541
R85702,1444,"501 - 5,000",,"$34,732","$1 - $60,000",Chinese-Unknown,,,17691,"5,001 - 20,000",Southwest,B-,TX,10,76541
R86752,1491,"501 - 5,000",,"$34,988","$1 - $60,000",Chinese-Unknown,,,27750,"20,201 - 50,000",Southwest,C+,TX,7,77091
R87909,784,"501 - 5,000",45000,"$58,507","$1 - $60,000",Chinese-Unknown;Japanese,,,28969,"20,201 - 50,000",West,B+,ID,0,83705
R86729,338,101 - 500,,"$35,439","$1 - $60,000",Chinese-Unknown,,,16656,"5,001 - 20,000",Southeast,B,SC,4,29306
R85983,36489,"20,001+",,"$35,640","$1 - $60,000",Cajun,,,76713,"50,001+",Northeast,B+,NY,2,10029
R86173,5654,"5,001 - 20,000",,"$35,671","$1 - $60,000",Chinese-Unknown,,,32385,"20,201 - 50,000",Northeast,D+,PA,0,19121
R86383,18970,"5,001 - 20,000",,"$35,840","$1 - $60,000",Japanese;Cajun,,,75605,"50,001+",Northeast,B+,NY,9,11212
R86329,28,1 - 100,,"$36,225","$1 - $60,000",Chinese-Unknown,Chinese,Asian,17812,"5,001 - 20,000",Southeast,C-,MS,,38614
R83902,105,101 - 500,,"$36,358","$1 - $60,000",Japanese;Wings,,,22525,"20,201 - 50,000",Southeast,C+,MS,,38701
R87528,26,1 - 100,,"$36,762","$1 - $60,000",Chinese-Unknown,,,10574,"5,001 - 20,000",Southeast,C,NC,1,28337
R86735,2589,"501 - 5,000",,"$37,615","$1 - $60,000",Chinese-Unknown,,,16582,"5,001 - 20,000",Northeast,D-,PA,10,19602
R87106,212,101 - 500,,"$37,980","$1 - $60,000",Chinese-Unknown,,,29520,"20,201 - 50,000",Midwest,B-,OH,0,45662
R89032,7,1 - 100,,"$38,917","$1 - $60,000",Chinese-Unknown,,,5566,"5,001 - 20,000",West,C,CO,4,81067
R87582,40,1 - 100,,"$39,660","$1 - $60,000",Chinese-Unknown,,,6147,"5,001 - 20,000",Midwest,C+,MO,4,63863
R87281,1268,"501 - 5,000",,"$39,668","$1 - $60,000",Chinese-Unknown,,,23561,"20,201 - 50,000",Midwest,D-,MO,6,63121
R87723,11149,"5,001 - 20,000",,"$40,467","$1 - $60,000",Chinese-Unknown;Other,,,45795,"20,201 - 50,000",Northeast,B+,NY,7,11224
R87818,6658,"5,001 - 20,000",,"$40,723","$1 - $60,000",Pizza,,,29078,"20,201 - 50,000",Northeast,D,PA,6,19142
R85779,39,1 - 100,,"$40,724","$1 - $60,000",Japanese,,,13689,"5,001 - 20,000",Southeast,C+,SC,0,29520
R85586,36,1 - 100,,"$40,776","$1 - $60,000",Wings,,,25927,"20,201 - 50,000",Southeast,A-,MS,12,39301
R87682,109,101 - 500,,"$41,178","$1 - $60,000",Chinese-Unknown,,,26039,"20,201 - 50,000",Southwest,A,OK,7,74075
R83961,939,"501 - 5,000",,"$41,189","$1 - $60,000",Chinese-Unknown,,,25175,"20,201 - 50,000",Southeast,C-,GA,2,30904
R85873,6378,"5,001 - 20,000",,"$41,390","$1 - $60,000",Chinese-Unknown,,,49497,"20,201 - 50,000",Northeast,C-,PA,7,18102
R86263,2112,"501 - 5,000",,"$41,751","$1 - $60,000",Chinese-Unknown,Chinese,Asian,22833,"20,201 - 50,000",Northeast,B-,NY,,13208
R86995,1154,"501 - 5,000",,"$41,817","$1 - $60,000",Chinese-Unknown,,,39235,"20,201 - 50,000",Southeast,A,WV,2,26505
R86769,828,"501 - 5,000",,"$42,354","$1 - $60,000",Chinese-Unknown,,,40777,"20,201 - 50,000",Southeast,C,TN,12,38116
R86769,828,"501 - 5,000",,"$42,354","$1 - $60,000",Chinese-Unknown,,,40777,"20,201 - 50,000",Southeast,C,TN,12,38116
R87397,551,"501 - 5,000",,"$42,397","$1 - $60,000",Chinese-Unknown,,,11649,"5,001 - 20,000",Southeast,B-,FL,0,33853
R87618,551,"501 - 5,000",13000,"$42,397","$1 - $60,000",Japanese;Wings,,,11649,"5,001 - 20,000",Southeast,B-,FL,0,33853
