ZIP_CODE,NUMBERS_OF_CLIENTS,NUMBER_OF_CHINESE_CLIENTS,NUMBER_OF_JAPANESE_CLIENTS,NUMBER_OF_CHINESE_JAPANESE_CLIENTS,NUMBER_OF_ADVANCED_CLIENTS,NUMBER_OF_UNKNOWN_CLIENTS,NUMBERS_OF_GMV_LEVEL_3,NUMBERS_OF_GMV_LEVEL_LOW,NUMBERS_OF_GMV_LEVEL_2,NUMBERS_OF_GMV_LEVEL_VIP,NUMBERS_OF_GMV_LEVEL_1,NUMBERS_OF_GMV_LEVEL_UNKNOWN
11520,11,7,1,0,1,2,1,6,2,0,1,1
11377,7,3,0,0,0,4,6,1,0,0,0,0
07601,6,2,0,0,1,3,2,1,3,0,0,0
44035,5,3,0,0,0,2,4,1,0,0,0,0
19121,5,4,0,0,0,1,0,1,2,0,1,1
27603,5,2,1,0,0,2,2,2,0,0,1,0
11373,5,3,0,0,1,1,4,1,0,0,0,0
80501,5,1,0,0,3,1,2,3,0,0,0,0
70433,4,3,0,0,1,0,1,2,1,0,0,0
19020,4,3,0,1,0,0,1,1,1,0,0,1
12550,4,3,0,0,1,0,1,0,3,0,0,0
07065,4,3,1,0,0,0,2,1,1,0,0,0
28461,4,1,0,1,2,0,2,1,1,0,0,0
12304,4,3,1,0,0,0,2,1,1,0,0,0
34471,4,2,0,0,2,0,2,1,0,0,1,0
08015,4,3,0,0,1,0,2,0,1,0,1,0
11375,4,2,0,0,0,2,4,0,0,0,0,0
21206,4,1,0,0,0,3,2,0,2,0,0,0
10701,4,1,0,0,1,2,0,0,3,0,0,1
08054,3,1,1,0,0,1,2,1,0,0,0,0
23703,3,3,0,0,0,0,1,0,2,0,0,0
02909,3,3,0,0,0,0,0,0,1,0,1,1
06037,3,3,0,0,0,0,2,0,0,0,1,0
10461,8,1,2,0,0,5,2,1,2,0,0,3
11237,6,0,1,2,0,3,2,3,0,0,0,1
19701,6,4,0,0,1,1,4,1,1,0,0,0
11207,6,1,0,0,0,5,3,1,1,0,1,0
11215,6,4,1,0,0,1,2,2,0,0,0,2
23112,5,1,0,1,1,2,4,1,0,0,0,0
21117,5,0,4,0,0,1,2,1,1,0,0,1
17603,4,3,0,0,0,1,1,0,2,0,0,1
33312,4,0,0,0,1,3,0,0,2,0,1,1
11235,4,2,0,2,0,0,1,0,0,0,1,2
07728,4,2,0,0,0,2,2,0,2,0,0,0
07109,4,2,0,0,1,1,0,1,2,0,0,1
29456,3,3,0,0,0,0,1,1,1,0,0,0
06114,3,2,0,1,0,0,2,0,0,0,1,0
76021,3,1,0,0,0,2,3,0,0,0,0,0
29464,3,2,1,0,0,0,1,1,0,0,1,0
08094,3,0,0,0,0,3,1,0,1,0,0,1
19026,6,2,0,1,1,2,2,3,1,0,0,0
27406,6,2,1,1,1,1,4,0,0,0,2,0
07055,6,3,1,0,0,2,2,1,2,0,0,1
10462,5,3,0,0,0,2,3,0,1,0,1,0
33844,5,2,1,0,2,0,2,2,0,0,1,0
33578,4,2,1,0,0,1,2,0,2,0,0,0
23803,4,3,0,0,0,1,4,0,0,0,0,0
34609,4,2,0,1,0,1,1,0,2,0,1,0
20748,4,0,0,0,3,1,4,0,0,0,0,0
23322,4,2,0,0,0,2,1,1,1,0,1,0
44805,4,2,0,1,0,1,3,1,0,0,0,0
19124,4,2,0,0,0,2,2,0,0,0,2,0
10465,3,0,1,0,0,2,0,1,2,0,0,0
19709,3,1,0,0,1,1,1,0,2,0,0,0
33619,3,1,0,0,0,2,2,0,0,0,0,1
07107,3,3,0,0,0,0,1,0,2,0,0,0
12182,3,2,0,0,0,1,0,2,1,0,0,0
08844,3,3,0,0,0,0,2,0,1,0,0,0
02914,3,0,0,0,1,2,1,2,0,0,0,0
10029,12,4,0,2,0,6,7,2,3,0,0,0
10467,9,3,0,0,0,6,1,0,4,0,2,2
08861,7,1,0,0,0,6,1,0,1,0,5,0
23666,6,2,0,0,0,4,6,0,0,0,0,0
10456,6,1,0,0,0,5,1,0,4,0,1,0
11572,6,3,0,0,1,2,4,0,0,0,0,2
10459,6,3,0,0,0,3,0,0,4,0,1,1
19802,6,2,0,0,0,4,4,0,1,0,1,0
10451,6,0,0,2,1,3,2,1,1,0,0,2
06040,6,5,0,0,0,1,4,0,1,0,1,0
11435,5,4,0,0,0,1,4,0,0,0,0,1
21222,5,2,1,0,0,2,3,1,0,0,1,0
07052,4,1,0,0,0,3,2,0,1,0,0,1
33607,4,3,0,0,0,1,3,1,0,0,0,0
12180,4,2,0,1,0,1,0,1,2,0,1,0
11211,4,1,0,1,2,0,1,0,0,0,0,3
11003,3,1,0,0,0,2,2,0,1,0,0,0
19403,3,2,1,0,0,0,2,1,0,0,0,0
23455,3,2,0,0,0,1,2,0,1,0,0,0
46236,3,2,0,1,0,0,1,1,1,0,0,0
11101,15,7,0,2,1,5,1,2,0,0,0,12
11420,8,4,1,1,0,2,4,1,1,0,2,0
10469,5,2,1,0,0,2,1,1,1,0,2,0
21212,5,2,0,0,1,2,2,2,1,0,0,0
07050,5,0,0,0,0,5,3,0,1,0,1,0
70816,4,1,1,2,0,0,2,2,0,0,0,0
07470,4,2,1,1,0,0,1,3,0,0,0,0
23320,4,3,0,0,0,1,3,0,1,0,0,0
07003,4,3,0,0,0,1,1,0,2,0,1,0
23518,4,0,0,0,0,4,4,0,0,0,0,0
07202,4,2,1,0,0,1,1,1,2,0,0,0
29681,4,2,0,1,0,1,3,1,0,0,0,0
33021,4,3,0,0,1,0,1,2,0,0,1,0
07026,4,1,0,0,1,2,0,2,2,0,0,0
08360,4,4,0,0,0,0,4,0,0,0,0,0
10940,4,4,0,0,0,0,2,1,0,0,1,0
07017,3,2,0,0,0,1,0,0,2,0,0,1
03301,3,1,0,1,1,0,0,2,1,0,0,0
80020,3,2,0,0,1,0,2,0,0,0,0,1
17104,3,2,0,0,0,1,1,0,1,0,1,0
07080,3,2,0,0,0,1,3,0,0,0,0,0
32082,3,1,1,0,0,1,3,0,0,0,0,0
10468,7,0,0,1,0,6,2,0,1,0,3,1
10463,6,3,0,1,0,2,3,0,2,0,0,1
07304,5,1,0,1,1,2,4,0,0,0,0,1
33411,5,4,0,0,1,0,1,1,3,0,0,0
07083,5,2,1,0,1,1,3,2,0,0,0,0
11216,4,1,0,0,0,3,2,1,1,0,0,0
07731,4,1,1,1,0,1,2,1,0,0,1,0
29223,4,1,1,0,2,0,1,1,1,1,0,0
10454,4,2,0,0,0,2,4,0,0,0,0,0
20705,4,1,1,1,1,0,2,0,1,0,0,1
19142,4,0,0,0,0,4,0,0,1,0,3,0
32163,4,3,0,0,0,1,3,0,1,0,0,0
12206,4,3,0,0,0,1,2,0,2,0,0,0
10039,4,0,0,0,0,4,2,0,1,0,0,1
32225,4,2,0,1,0,1,2,1,0,0,0,1
23517,3,2,0,0,0,1,2,0,0,0,1,0
11772,3,1,0,0,0,2,1,1,0,0,1,0
63601,3,3,0,0,0,0,2,1,0,0,0,0
37421,3,0,1,0,2,0,1,2,0,0,0,0
07087,6,4,0,0,0,2,2,0,3,0,0,1
21234,6,0,0,2,0,4,3,0,1,0,1,1
19114,5,2,1,0,0,2,0,2,3,0,0,0
06340,5,2,0,0,2,1,1,3,1,0,0,0
21740,5,3,2,0,0,0,2,2,1,0,0,0
11417,5,2,0,0,1,2,4,0,0,0,0,1
07644,4,3,0,0,0,1,3,0,1,0,0,0
10466,4,0,0,0,0,4,2,0,1,0,1,0
18017,4,2,1,0,1,0,3,1,0,0,0,0
22601,4,1,0,0,0,3,2,0,2,0,0,0
07079,4,1,0,1,0,2,3,0,0,0,0,1
07047,4,2,0,1,0,1,2,0,2,0,0,0
06513,4,0,0,0,0,4,0,1,3,0,0,0
08021,4,4,0,0,0,0,3,0,1,0,0,0
11214,3,3,0,0,0,0,1,1,1,0,0,0
32257,3,2,0,0,0,1,2,0,0,0,0,1
33626,3,3,0,0,0,0,1,1,1,0,0,0
19464,3,1,1,1,0,0,1,1,1,0,0,0
29072,3,2,0,0,0,1,2,0,0,0,0,1
10314,7,3,2,0,0,2,3,4,0,0,0,0
07111,7,2,0,0,0,5,3,2,2,0,0,0
10472,7,3,0,0,0,4,2,1,3,0,0,1
07666,5,3,0,0,0,2,3,0,1,0,1,0
11234,5,0,0,0,2,3,3,2,0,0,0,0
29418,5,1,1,1,1,1,2,1,1,0,0,1
10453,5,1,0,0,0,4,1,0,4,0,0,0
10027,5,2,0,0,0,3,3,0,1,0,0,1
10035,5,0,0,0,0,5,2,1,1,0,0,1
53704,5,1,1,1,1,1,1,3,0,0,0,1
11208,5,4,0,0,0,1,3,1,1,0,0,0
19801,4,0,0,0,0,4,2,1,1,0,0,0
34744,4,1,0,0,1,2,4,0,0,0,0,0
08096,4,0,0,3,0,1,2,0,2,0,0,0
27215,4,2,0,0,2,0,2,0,1,0,1,0
19149,4,1,0,0,3,0,1,3,0,0,0,0
27858,4,2,1,0,1,0,1,2,1,0,0,0
